asset_id,reviewer,reviewed_on,decision,changes_made,notes
wikimedia_jane_byrne_f000046,Ali,2026-08-03,confirmed,0,Second visual pass completed; no further changes required
wikimedia_jane_byrne_f000140,Ali,2026-08-03,corrected,1,Removed one duplicate car or van box
wikimedia_jane_byrne_f000234,Ali,2026-08-03,confirmed,0,Second visual pass completed; no further changes required
wikimedia_jane_byrne_f000327,Ali,2026-08-03,confirmed,0,Second visual pass completed; no further changes required
wikimedia_jane_byrne_f000421,Ali,2026-08-03,corrected,1,Removed a conflicting truck label from a retained car or van box
wikimedia_jane_byrne_f000515,Ali,2026-08-03,corrected,1,Removed one duplicate car or van box
wikimedia_renai_day_renai_dunhua_traffic_circle_202006,Ali,2026-08-03,corrected,2,Removed two duplicate car or van boxes
wikimedia_renai_night_renai_roundabout_at_night_from_the_air,Ali,2026-08-03,corrected,8,Removed five duplicate boxes and corrected three vehicle classes
okutama_1_1_2_f000666,Ali,2026-08-03,confirmed,0,Overlay checked; boundary boxes correspond to visible partial people
okutama_1_1_2_f001998,Ali,2026-08-03,confirmed,0,Overlay checked; boundary boxes correspond to visible partial people
okutama_1_1_1_f002044,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_1_1_5_f000468,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_1_2_4_f000197,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_1_2_4_f000591,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_2_1_1_f000375,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_2_1_2_f000978,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
okutama_2_2_10_f001284,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial person
traffic_roundabout_near_3_f000097,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000109,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000143,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000211,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000303,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000314,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000325,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_urban_intersection_2_f000346,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_urban_intersection_4_f000104,Ali,2026-08-03,confirmed,0,Overlay checked; boundary box corresponds to a visible partial vehicle
traffic_roundabout_near_3_f000006,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000018,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000029,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000040,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000052,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000063,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000075,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000086,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000120,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000132,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000154,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000166,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000177,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000189,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000200,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000223,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000234,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000246,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000257,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
traffic_roundabout_near_3_f000268,Ali,2026-08-03,confirmed,0,Contact-sheet review completed; publisher vehicle boxes align within supported class scope
